Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work,Department,Region,Errors
EMP1001,Bob,Brown,,Finance-Texas,active,2020-10-07,65304.66,bob.brown@example.com,1898471390,excellent,TRUE,Finance,Texas,Age is required; Invalid Age
EMP1002,Alice,Jones,,Admin-Nevada,pending,2023-07-12,88145.9,alice.jones@example.com,5596363211,good,TRUE,Admin,Nevada,Age is required; Invalid Age
EMP1003,Eva,Davis,25,Admin-Nevada,inactive,11/27/2021,69450.99,eva.davis@example.com,3476490784,good,TRUE,Admin,Nevada,Invalid Join_Date
EMP1006,Frank,Jones,,Admin-Nevada,active,2020-03-04,96288.43,frank.jones@example.com,4518376063,good,FALSE,Admin,Nevada,Age is required; Invalid Age
EMP1007,Bob,Jones,30,Cloud Tech-Florida,inactive,7/17/2022,94497.91,bob.jones@example.com,4134327559,average,TRUE,Cloud Tech,Florida,Invalid Join_Date
EMP1009,Charlie,Johnson,,DevOps-New York,active,2022-04-08,76561.88,charlie.johnson@example.com,8156985699,excellent,TRUE,DevOps,New York,Age is required; Invalid Age
EMP1011,David,Davis,,DevOps-California,active,2023-04-09,84946.19,david.davis@example.com,1238296576,poor,TRUE,DevOps,California,Age is required; Invalid Age
EMP1013,Grace,Williams,,Finance-California,active,2020-10-10,85666.84,grace.williams@example.com,2669300892,good,FALSE,Finance,California,Age is required; Invalid Age
EMP1015,Grace,Jones,40,Sales-Florida,pending,5/29/2021,117975.49,grace.jones@example.com,4215291085,good,TRUE,Sales,Florida,Invalid Join_Date
EMP1016,Alice,Brown,25,DevOps-Illinois,inactive,4/23/2024,94867.33,alice.brown@example.com,7713334475,poor,FALSE,DevOps,Illinois,Invalid Join_Date
EMP1017,Grace,Garcia,30,Finance-Texas,pending,11/28/2024,100377.65,grace.garcia@example.com,2639343625,average,TRUE,Finance,Texas,Invalid Join_Date
EMP1018,Charlie,Garcia,,Cloud Tech-Nevada,inactive,9/19/2024,94726.46,charlie.garcia@example.com,2044397358,excellent,FALSE,Cloud Tech,Nevada,Age is required; Invalid Age; Invalid Join_Date
EMP1021,Bob,Jones,40,Cloud Tech-Illinois,active,9/19/2020,96182.56,bob.jones@example.com,5990048963,good,FALSE,Cloud Tech,Illinois,Invalid Join_Date
EMP1024,Bob,Brown,30,Admin-Texas,inactive,2/13/2020,91181.61,bob.brown@example.com,1502745643,good,TRUE,Admin,Texas,Invalid Join_Date
EMP1025,David,Miller,25,Cloud Tech-Nevada,pending,4/30/2020,66025.92,david.miller@example.com,9485625727,average,FALSE,Cloud Tech,Nevada,Invalid Join_Date
EMP1029,Alice,Brown,40,DevOps-California,active,5/24/2021,63411.31,alice.brown@example.com,2849939088,excellent,TRUE,DevOps,California,Invalid Join_Date
EMP1030,Charlie,Jones,40,Admin-California,inactive,5/26/2021,111214.02,charlie.jones@example.com,2613715040,good,TRUE,Admin,California,Invalid Join_Date
EMP1034,Heidi,Miller,30,Admin-California,active,4/29/2020,90542.62,heidi.miller@example.com,1642361031,excellent,TRUE,Admin,California,Invalid Join_Date
EMP1035,Frank,Jones,25,Cloud Tech-Illinois,inactive,10/26/2022,114357.1,frank.jones@example.com,6642147648,excellent,TRUE,Cloud Tech,Illinois,Invalid Join_Date
EMP1036,Alice,Brown,,Cloud Tech-New York,active,2023-03-05,54757.26,alice.brown@example.com,2515837766,poor,FALSE,Cloud Tech,New York,Age is required; Invalid Age
EMP1039,Eva,Williams,40,HR-Texas,active,7/27/2022,93481.15,eva.williams@example.com,8147617421,poor,FALSE,HR,Texas,Invalid Join_Date
EMP1040,Bob,Williams,25,Sales-New York,pending,6/27/2021,59271.96,bob.williams@example.com,4386490809,excellent,TRUE,Sales,New York,Invalid Join_Date
EMP1041,Bob,Davis,30,HR-California,active,6/16/2022,108362.15,bob.davis@example.com,8186617944,excellent,FALSE,HR,California,Invalid Join_Date
EMP1042,Alice,Johnson,,HR-Nevada,active,2024-03-12,59400.38,alice.johnson@example.com,4918017225,average,TRUE,HR,Nevada,Age is required; Invalid Age
EMP1043,Bob,Garcia,,Admin-California,inactive,5/23/2023,64744.08,bob.garcia@example.com,164597793,excellent,FALSE,Admin,California,Age is required; Invalid Age; Invalid Join_Date
EMP1044,Eva,Brown,,Finance-California,active,2020-08-07,94399.91,eva.brown@example.com,5232194167,good,TRUE,Finance,California,Age is required; Invalid Age
EMP1045,Alice,Brown,25,HR-New York,pending,6/20/2021,61310.74,alice.brown@example.com,61027768,average,TRUE,HR,New York,Invalid Join_Date
EMP1046,Grace,Garcia,,Cloud Tech-Texas,active,12/13/2024,98371.37,grace.garcia@example.com,7499564121,excellent,FALSE,Cloud Tech,Texas,Age is required; Invalid Age; Invalid Join_Date
EMP1047,Alice,Davis,35,Sales-Illinois,active,5/30/2022,58921.19,alice.davis@example.com,310303722,average,TRUE,Sales,Illinois,Invalid Join_Date
EMP1048,Alice,Miller,35,Admin-Nevada,active,9/27/2023,57195.55,alice.miller@example.com,6831472759,excellent,FALSE,Admin,Nevada,Invalid Join_Date
EMP1049,Grace,Miller,,DevOps-New York,active,2024-05-11,61375.12,grace.miller@example.com,1227770792,excellent,TRUE,DevOps,New York,Age is required; Invalid Age
EMP1051,David,Miller,35,Admin-Nevada,active,2/22/2022,111051.67,david.miller@example.com,7998407677,good,FALSE,Admin,Nevada,Invalid Join_Date
EMP1054,Frank,Davis,,Finance-Nevada,pending,2021-09-11,115746.6,frank.davis@example.com,6024375737,excellent,TRUE,Finance,Nevada,Age is required; Invalid Age
EMP1056,Frank,Garcia,40,Sales-Illinois,active,2/27/2022,112965.33,frank.garcia@example.com,7293417222,good,FALSE,Sales,Illinois,Invalid Join_Date
EMP1059,Bob,Jones,35,Sales-California,pending,4/16/2022,72832.8,bob.jones@example.com,5619318373,excellent,TRUE,Sales,California,Invalid Join_Date
EMP1060,Charlie,Williams,30,Finance-Nevada,inactive,10/19/2023,102369.42,charlie.williams@example.com,5508428909,average,TRUE,Finance,Nevada,Invalid Join_Date
EMP1062,Frank,Jones,40,Finance-Florida,pending,3/13/2021,85782.18,frank.jones@example.com,1213524786,excellent,TRUE,Finance,Florida,Invalid Join_Date
EMP1063,Charlie,Smith,25,HR-Illinois,pending,7/20/2023,93348.26,charlie.smith@example.com,1255213759,poor,FALSE,HR,Illinois,Invalid Join_Date
EMP1064,David,Davis,35,Admin-New York,active,2/20/2020,53234.96,david.davis@example.com,3754821455,good,FALSE,Admin,New York,Invalid Join_Date
EMP1067,Bob,Smith,40,Admin-New York,pending,11/26/2022,82518.49,bob.smith@example.com,5562606028,poor,TRUE,Admin,New York,Invalid Join_Date
EMP1068,Bob,Brown,40,Admin-Florida,pending,12/23/2022,119152.47,bob.brown@example.com,846684549,poor,TRUE,Admin,Florida,Invalid Join_Date
